"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"91",11.20555556,0.82,17.8549,14.9086,1004,32.7,28,74.9,33,13.645
"93",10.72222222,0.86,15.7297,11.0285,1005.48,22.4,10.2,74.3,33,8.971
"94",10.65,0.88,12.3648,9.982,1005.89,14.1,20.8,75.5,33,9.253
"95",10.11666667,0.92,13.8943,15.8263,1006.37,12.4,38,78.1,33,5.327
"96",10.2,0.92,9.8049,15.0052,1006.56,7.8,32.3,78.3,33,8.426
"97",10.13888889,0.92,6.6654,15.8746,1007.07,11.6,39.6,80.6,33,8.53
"98",10.11666667,0.92,7.1162,15.8746,1007.37,44.6,122.4,82,33,5.126
"99",10.14444444,0.93,3.7191,9.982,1012.23,94.3,47.3,84.1,33,4.881
"101",11.16111111,0.92,20.5275,15.8263,1007.18,8.3,14.2,80.9,33,13.204
"102",12.1,0.87,19.3039,14.9569,1007.39,6.3,33.2,79.6,33,24.459
"103",12.85,0.82,17.4363,9.982,1007.67,9.1,8.2,78.7,34,34.628
"104",13.93888889,0.82,20.4148,9.982,1007.98,11.3,53.1,82.9,27,32.446
"105",13.86111111,0.78,17.0499,9.982,1008.57,7.3,12,84.9,33,12.628
"106",12.96666667,0.81,20.5114,9.982,1008.87,4.9,21.7,86.4,42,6.941
"107",12.94444444,0.82,17.6456,9.982,1009.44,5.2,20.2,86.2,56,7.539
"108",12.87777778,0.83,14.4095,9.982,1010.03,29.1,28,82.9,28,7.112
"109",12.87222222,0.82,10.7548,10.0464,1010.22,18.4,25.9,84.3,33,13.926
"110",12.29444444,0.85,4.8622,10.0464,1010.39,8.6,61.7,79.7,57,17.02
"112",12.75555556,0.77,0.322,9.982,1010,4.9,20.8,85.8,39,6.169
"114",12.12222222,0.76,3.0107,11.0285,1010.05,11.2,22.4,87.9,39,6.783
"115",20.48888889,0.73,10.465,9.982,1010.1,4.5,33.9,90.4,42,4.487
"118",18.74444444,0.76,9.9981,9.982,1011.32,7.3,13,89.7,23,12.085
"119",17.63333333,0.79,13.685,11.9784,1011.61,13,68,90,30,7.963
"125",23.75,0.62,5.2003,9.982,1013.39,8.8,34.4,89,31,11.946
"126",26.03333333,0.53,5.6189,5.9248,1013.45,5.9,32.6,87.5,33,7.567
"127",27.71111111,0.49,4.7656,1.2236,1013.4,3.3,10.4,92.3,27,6.676
"128",28.81666667,0.43,7.9212,7.2128,1013.81,14.9,16.5,89.6,34,5.982
"129",29.92777778,0.42,9.7566,10.6743,1014.7,4.3,8.9,92.4,33,5.791
"130",29.92777778,0.43,9.6922,11.2056,1014.67,18.7,31.2,90.3,42,5.514
"132",30.03888889,0.42,20.3343,11.0285,1014.8,17.7,29.5,94.5,29,6.989
"133",28.83888889,0.46,23.5865,11.27,1014.47,9.9,172.4,96.1,21,2.923
"134",27.6,0.5,22.2105,11.27,1014.16,8.8,19.4,95.5,33,3.881
"136",23.75,0.67,14.49,11.27,1013.34,17.4,31.7,98.7,30,3.043
"138",22.20555556,0.84,19.5937,11.4471,1012.38,19.5,28.4,95.2,48,7.46
"139",11.64444444,0.74,14.8281,11.1251,1012.38,10.7,101.6,96.2,35,7.916
"141",10.63333333,0.78,11.5598,11.4471,1013.42,12,17,95,30,7.585
"143",10.6,0.77,11.2539,15.8746,1014.89,18.3,23.5,91,52,6.873
"144",10.59444444,0.74,5.7799,15.0052,1014.91,21.8,22.3,91.6,33,4.836
"145",10.05,0.77,2.6404,15.8746,1014.75,1.2,16.5,91.2,34,4.788
"146",10.02777778,0.77,5.313,15.8746,1015.55,9.7,21.3,93.1,34,3.837
"148",12.68888889,0.69,3.6547,14.9086,1016.43,8.7,22.9,94.7,33,2.02
"150",12.95,0.63,6.5205,13.3791,1017.15,7.9,41.3,96.4,46,13.404
"151",13.93888889,0.63,11.3988,9.982,1017.37,7.3,26.4,97.5,42,19.153
"152",15.05,0.59,9.66,9.982,1018.25,15.2,45.4,98.2,34,21.03
"153",16.88333333,0.45,15.9551,9.982,1019.24,6.5,10.2,101.7,47,22.7
"155",17.08333333,0.44,13.1698,11.2056,1020.51,8,44.8,101.1,46,12.265
"157",14.85555556,0.55,11.2378,11.27,1020.6,7.7,7.9,98.5,33,11.008
"159",13.53888889,0.57,10.6099,11.4471,1020.34,6.4,11.8,99.9,47,19.323
"160",12.06111111,0.61,7.9534,11.2056,1019.7,7.4,7.5,101.9,31,9.998
"161",11.01666667,0.63,2.5921,11.2056,1018.89,6.9,32.6,100.7,35,16.555
"162",9.672222222,0.7,11.0124,10.3523,1018.48,6.1,13.4,100.3,24,20.981
"163",21.50555556,0.9,9.1931,9.982,1017.87,6,6.8,100.9,45,3.13
"164",21.41666667,0.85,9.1609,9.982,1017.56,6,31.6,100.7,47,4.346
"165",21.46666667,0.84,9.2736,9.982,1017.38,6,7.9,102.8,37,3.5
"166",19.93888889,0.9,9.4507,9.982,1017.58,6,8.8,102.9,27,9.49
"167",20.32777778,0.87,11.0768,15.8263,1017.65,6,30.9,102.3,22,11.756
"168",19.86111111,0.9,13.3791,14.9569,1017.36,6,9.6,101.9,33,14.117
"170",19.88888889,0.87,11.3183,15.8263,1016.64,6,17.7,88,47,10.712
"172",22.52777778,0.73,14.168,15.8263,1014.79,6,5.8,82.9,34,14.25
"174",23.81666667,0.59,13.8299,14.9569,1013.95,6,13.6,86.2,50,5.697
"175",23.72777778,0.59,14.007,9.982,1013.63,6,8.2,90.9,23,5.05
"177",24.20555556,0.6,13.8782,10.3523,1013.56,6,9.3,94.5,39,5.378
"178",26.02222222,0.54,14.4578,9.982,1012.85,6,12.8,91.7,31,4.175
"179",26.06666667,0.5,25.0194,11.27,1012.15,6,11.1,89.5,24,2.344
"180",26.06666667,0.49,27.37,11.4471,1011.71,6,7.8,91.7,50,4.671
"181",24.95,0.54,22.218,11.27,1011.28,6,7.2,94.3,43,8.093
"182",22.75555556,0.62,23.5382,11.27,1010.99,6,18.6,93.8,45,8.554
"183",22.25555556,0.67,19.8996,11.3988,1010.93,6.3,8,97.2,22,3.893
"184",19.95,0.86,17.5007,11.27,1010.7,11.9,10,94.1,53,3.099
"186",19.61666667,0.91,19.5615,11.3988,1010.69,17.8,15.2,94.4,31,6.044
"188",19.35555556,0.89,17.2753,11.2056,1011.14,34.1,48.9,96,57,6.861
"189",19.36666667,0.9,11.7691,11.2861,1011.64,4.4,8.9,91.6,28,7.988
"191",18.28333333,0.96,11.0607,15.6975,1012.21,4.2,14.1,88.5,36,4.009
"193",17.65555556,0.97,6.923,15.8263,1012.6,51.6,63,83.4,34,7.204
"200",18.79444444,0.84,7.889,9.982,1013.01,10.7,5.2,87.3,33,5.214
"201",19.85555556,0.85,11.8657,9.982,1013.23,9.7,28.8,88.2,16,3.348
"202",19.81666667,0.84,20.0123,11.2056,1013.31,10.9,23.7,89.9,53,6.515
"203",19.81666667,0.84,17.5812,11.2056,1013.4,21.3,25.8,84.9,30,11.835
"205",18.79444444,0.9,16.3093,11.27,1013.02,25.4,48.4,87.3,51,6.278
