"","Temperature","Humidity","Wind.Speed..km.h.","Visibility","Pressure","so2","no2","Rainfall","PM25","PM10"
"2711",4.977777778,0.86,12.6868,3.2039,1007.87,6.2,41.4,87.7,19.37,16.301
"2712",3.861111111,0.89,10.6421,3.2039,1007.35,5.6,30.3,93.1,35,13.801
"2713",3.816666667,0.89,6.1341,3.4937,1020.33,6.2,33,91.5,3,8.381
"2714",4.894444444,0.87,6.1502,5.6833,1020.41,5.3,28.7,92.4,53.85,8.405
"2715",4.927777778,0.92,3.2361,3.0429,1020.51,6,32.6,92.6,63.5,10.041
"2716",5.95,0.93,6.118,3.0429,1020.21,6,31.4,94,110.6,8.165
"2719",9.838888889,0.93,0.1449,3.9606,1019.52,13.2,35.8,94.7,63,9.301
"2720",11.92222222,0.82,2.5921,4.508,1019.74,11.6,32.6,91.1,61.21,8.478
"2721",12.06111111,0.81,2.9624,4.4597,1019.73,11,33.1,93.7,136,12.775
"2722",13.67222222,0.78,3.1234,4.4597,1019.93,11.9,31.7,92.1,60,3.592
"2723",13.58333333,0.76,4.991,5.313,1020.21,11,31.9,96.5,107,5.251
"2725",9.861111111,0.84,1.8032,5.9731,1019.52,11,31.5,90.9,48.07,10.956
"2728",7.177777778,0.89,1.288,7.8246,1018.43,7.1,28,-99,21,11.121
"2729",6.127777778,0.94,2.0608,5.6833,1018.55,10.2,36.2,-99,136,10.455
"2730",6.038888889,0.99,3.22,4.4436,1018.52,11.2,40.8,97.2,30.22,8.425
"2731",6.083333333,1,3.4615,5.9731,1018.64,10.7,33.4,95.9,48,6.458
"2732",8.361111111,0.89,6.0697,6.2307,1019.02,32.7,12.4,83.7,31.28,7.258
"2734",8.677777778,0.87,6.1105,5.9731,1019.44,10.3,32.8,92,60.89,7.996
"2735",9.238888889,0.84,5.8604,6.2307,1019.83,11,32.4,88.7,33,10.463
"2737",7.127777778,0.93,6.6332,5.9731,1020.25,13,34,90.5,127.66,9.12
"2740",8.772222222,0.78,10.8997,5.9731,1020.57,11.4,32.9,96.7,105.87,10.286
"2741",9.783333333,0.78,6.0214,6.2307,1020.65,11.4,35.6,96.3,15.75,13.211
"2742",9.905555556,0.78,10.5938,6.0214,1020.55,11.7,34,95.4,14.27,7.879
"2744",9.883333333,0.78,5.3291,4.025,1021.04,12,35.4,92.7,45.07,12.934
"2745",9.444444444,0.77,9.3863,3.5581,1021.57,11.4,33.7,94.8,35.6,6.536
"2747",7.861111111,0.95,8.7584,3.4144,1022.74,11.8,34.8,95.8,16.03,13.335
"2749",7.744444444,0.96,4.8944,3.6547,1022.35,15.5,34.2,96,16.5,6.507
"2750",7.755555556,0.95,7.1806,3.5259,1022.18,11.3,31.1,96.5,43.86,8.331
"2751",7.75,0.96,8.2593,4.1216,1022.04,10.8,32.8,96.6,28.06,10.825
"2752",7.177777778,0.94,9.5795,4.1216,1022.13,10.8,32.4,96.8,24.63,14.126
"2754",7.177777778,0.93,9.5795,4.025,1022.37,10.9,31.6,95.5,144,11.731
"2755",6.666666667,0.93,9.6117,4.025,1023.13,11.2,33.1,95.7,34,12.6
"2756",6.294444444,0.95,10.2396,4.0572,1023.55,11.9,31.9,93.1,43,9.898
"2758",7.127777778,0.89,6.3112,6.0214,1024.07,10.9,31.5,91.2,56.37,8.19
"2759",7.116666667,0.9,9.6439,6.2629,1024.93,10,30.9,93.6,32,13
"2761",7.127777778,0.87,6.5044,3.1073,1025.73,10.5,33.2,93.7,9.38,18.639
"2766",7.133333333,1,7.8407,2.9302,1026.84,11.4,33.3,94.9,77,11.657
"2767",7.594444444,0.96,7.6314,2.9785,1027.15,10.7,32.5,94.9,109.96,12.591
"2768",6.15,0.93,7.2933,0.7406,1027.71,10.4,30.5,95.4,38,14.222
"2770",5.994444444,0.79,21.5096,9.9015,1029.06,5.1,33.3,90.2,27.49,15.386
"2771",6.105555556,0.79,23.4899,9.4507,1029.18,4.9,37.6,90.4,76,11.183
"2773",4.927777778,0.82,24.633,9.982,1028.59,11.3,69.2,84.6,49.31,7.905
"2774",4.938888889,0.82,25.2126,9.982,1028,8.8,41.7,88.2,42,11.404
"2777",2.844444444,0.85,23.8763,10.3523,1027.4,6.9,32.1,88.9,41.57,8.859
"2779",6.777777778,0.99,14.1519,9.982,1027.38,7.4,26.9,91,121.51,9.85
"2783",4.972222222,1,12.8639,15.0052,1027.43,5.3,29.7,84.2,124,18.816
"2784",4.883333333,1,10.6421,15.8263,1027.38,5.5,30.8,85.8,120,17.8
"2786",4.011111111,1,6.3434,14.0875,1028.22,7.6,33,90.8,17,15.101
"2787",4.988888889,1,14.3129,14.9569,1026.68,7.2,33.3,86.2,91.96,16.133
"2790",12.28888889,0.85,11.0446,10.0464,1026.17,10,41.8,84.6,66.62,14.742
"2791",13.90555556,0.77,12.4292,10.0464,1026.19,8.5,37.8,84.5,39,11.448
"2793",14.92777778,0.67,15.7458,9.982,1027.17,6.7,34.4,85.6,43,10.834
"2795",12.79444444,0.81,22.8137,9.982,1027.11,9.4,34.7,87.7,39.57,15.131
"2797",10.04444444,0.92,23.5704,10.0464,1026.43,6.8,28.3,87.2,36.97,15.79
"2798",10.05555556,0.92,22.8459,11.0768,1026.17,5.1,31.5,80.1,136.14,16.934
"2799",8.933333333,0.99,25.438,11.2056,1025.81,6.5,30,87.1,24.34,16.675
"2800",8.416666667,0.95,25.2609,11.2056,1025.81,6.3,31.2,87.9,28,14.396
"2801",7.516666667,0.98,22.7493,10.5777,1025.94,7,31.5,88.2,17.37,16.403
"2802",7.383333333,0.99,14.3129,9.982,1026.3,5.6,26.5,87,27.33,24.891
"2803",2.8,0.92,13.9909,9.982,1026.89,5.5,30.4,81.7,17.78,29.102
"2804",2.388888889,0.9,12.1233,9.982,1027.38,5.4,28.2,81.5,47.64,24.473
"2807",0.861111111,0.95,6.1105,14.9569,1028.39,5.7,31.4,75.7,30,9.945
"2808",0.094444444,0.99,10.7065,15.8263,1028.48,6.3,32.8,79.4,37,11.001
"2812",4.911111111,0.82,3.0751,14.7315,1027.87,6.1,33.7,74.9,56.15,14.358
"2813",6.111111111,0.74,3.1234,14.0231,1027.43,6.6,35.7,74.1,37,11.762
"2815",7.777777778,0.67,3.5742,9.7083,1026.44,5.1,31.1,82.6,33.84,9.353
"2817",9.35,0.56,3.6547,7.8246,1026.01,5.2,29.3,84.4,17.64,10.991
"2820",6.177777778,0.68,16.4381,9.9015,1024.67,5.5,31.2,82.8,29.24,17.511
"2823",1.116666667,0.85,20.8817,9.9015,1021.49,5.3,29.4,83.9,60.85,28.29
"2824",1.094444444,0.85,20.8656,9.9015,1020.98,4.9,27.2,84.2,136,17.345
"2825",0.944444444,0.89,19.6259,9.9015,1020.49,4.8,30.3,82.8,120,20.511
"2826",1.183333333,0.88,17.4041,9.9015,1019.67,5.5,27.9,81.7,114.11,21.324
"2829",2.827777778,0.89,14.2968,9.7083,1018.14,4.7,28.7,81.7,107,18.294
"2830",3.355555556,0.85,14.5222,15.5365,1017.43,4.9,28.8,81.4,113,19.354
"2831",3.416666667,0.85,16.9372,14.6832,1016.88,7.7,41.3,80.5,124,28.194
"2832",2.85,0.89,17.0821,15.4399,1016.34,5.8,32.9,82.2,32.74,24.309
"2835",3.933333333,0.88,19.8513,4.83,1014.77,6.2,26.4,80.9,144,26.408
"2836",6.016666667,0.77,16.6313,7.8246,1014.3,5.1,29.8,82,15.96,17.792
"2839",7.8,0.76,9.4346,4.4436,1013,5.5,31.2,80.9,24.34,20.534
"2840",8.916666667,0.71,7.7924,4.6851,1013.04,5.4,28.2,81.4,28.05,15.47
"2841",10.07222222,0.7,7.7441,4.9427,1012.9,5.4,32,81.2,39,22.675
"2842",11.06666667,0.61,7.728,4.4919,1012.88,7.2,40.7,79.1,17.37,24.358
"2843",9.961111111,0.71,7.7119,4.8139,1012.72,6,46.9,76.5,43,21.862
"2844",8.961111111,0.76,7.1443,4.9427,1012.4,12.3,35.4,79.1,42.6,16.935
"2846",8.816666667,0.72,12.075,3.2039,1011.64,6.1,35.7,79.8,39.57,35.038
"2847",7.822222222,0.76,10.9963,1.9159,1011.08,6.1,34.4,78.4,45,25.338
"2848",8.288888889,0.75,10.948,1.9159,1010.39,5.3,38.1,78.3,34,15.141
"2849",7.327777778,0.86,10.2235,2.0769,1009.97,5.4,32,76.6,36.17,12.261
"2850",7.266666667,0.85,9.5151,1.2558,1009.65,5.1,48.3,77.9,35.6,11.748
"2851",6.672222222,0.85,11.2056,2.1735,1009.63,5.3,36.5,79,62.3,14.316
"2853",5.788888889,0.85,12.6546,7.6958,1008.48,5,35.4,72.9,286.02,17.824
"2854",6.227777778,0.79,11.2378,9.5312,1008.27,5.2,32.3,73,30.22,19.789
"2857",4.211111111,0.91,10.9802,15.3755,1007.29,5.1,35.3,70.7,28,17.244
"2859",7.383333333,0.78,10.7548,4.7817,1006.01,5.4,34.1,74.2,70.16,10.751
"2860",11.13333333,0.71,10.7709,3.864,1005.26,5.5,34.1,76.1,45.07,12.753
"2862",16.01666667,0.61,3.2844,3.8801,1004.66,6.2,31.1,73,17.79,9.457
"2864",16.98888889,0.53,8.5008,2.8658,1005.27,5.5,36.9,75.2,58.7,9.594
"2866",16.11111111,0.58,11.2217,1.8837,1006.26,5.4,34.6,72.2,63.5,17.21
"2867",14.95555556,0.62,14.3129,2.1252,1006.72,5.5,54.8,70.9,142.28,27.373
"2868",12.86666667,0.76,16.5991,2.576,1007.07,5.9,48.8,71.2,25,18.943
"2869",11.25,0.79,12.4614,4.4275,1006.78,3.2,14.8,70.5,127.66,10.669
"2870",11.18333333,0.8,8.3076,2.6243,1006.7,10.5,13.2,69.4,8,6.439
"2871",10.13888889,0.82,12.6063,6.0214,1006.84,3.5,10,69,41,8.274
"2872",9.533333333,0.85,10.7226,4.9105,1007.21,2.9,9,69.5,43,8.991
"2875",7.4,0.88,9.4507,1.2397,1008.31,4,8.2,66.5,38,14.904
"2877",7.888888889,0.85,10.8192,0,1008.7,6.2,24.1,67.3,301.9,15.047
"2878",10.46111111,0.71,11.0285,0.161,1009.18,4,11.3,68.4,16,15.666
"2879",11.31111111,0.66,6.3756,0.161,1009.34,2.5,15.4,68.9,33,9.905
"2880",10.02222222,0.71,6.4078,0.161,1009.29,3.9,22.2,69.1,121.51,9.45
"2881",9.027777778,0.77,17.1143,9.982,1016.66,4.5,10.8,65.6,39,7.238
"2882",8.105555556,0.83,16.6152,9.9015,1016.15,7.4,25.9,65.9,61.21,9.042
"2884",10.07777778,0.83,14.49,9.9015,1015.56,2.9,9.1,67.2,99.03,7.82
"2885",12.23888889,0.85,13.9426,9.9015,1014.98,5.4,17,65.1,71.04,9.691
"2886",11.04444444,1,15.9068,9.982,1014.08,3.7,18.8,65.4,105.03,10.41
"2887",12.11111111,0.87,20.5597,10.0464,1013.93,3.1,13.4,63,45.16,7.188
"2889",11.16111111,0.99,23.1679,11.2056,1013.19,12.9,26.4,62.3,56.15,9.372
"2890",11.15555556,0.99,22.8781,9.982,1013.29,4.5,13.9,59.7,28,11.745
"2891",11.31666667,0.98,21.6062,9.982,1013.42,4.4,11.1,58.8,55.27,9.788
"2894",9.883333333,0.99,23.4094,10.3523,1011.18,3.4,6.1,58.3,17,25.424
"2895",9.933333333,1,24.8423,11.2056,1010.49,4.2,12.9,54.6,28,24.35
"2897",8.372222222,1,19.32,11.3183,1010.22,4.1,16.7,59.3,71,18.284
"2898",8.8,1,19.7869,11.1251,1010.15,3.3,14.3,57,54.68,20.805
"2899",8.311111111,1,25.9371,11.1251,1009.76,3.5,14.4,61.8,48,24.694
"2903",6.5,0.81,22.7171,14.7959,1009.51,14.9,15,57.7,49.31,25.347
"2904",5.994444444,0.76,19.5615,15.6492,1009.64,2.3,17.1,60,71.14,20.09
"2905",4.927777778,0.82,3.0751,9.982,1033.17,2.8,29,62.5,116.41,22.89
"2906",4.938888889,0.81,3.0912,4.6046,1032.74,2.5,28.6,62.7,15.64,12.481
"2907",4.927777778,0.76,3.4615,9.982,1033.05,5,13.8,61.5,72.89,13.032
"2909",5.138888889,0.74,3.1234,9.6278,1032.73,3.2,17.8,63.7,54.19,9.489
"2910",5.138888889,0.8,2.9302,11.2056,1032.44,2.5,11.2,60.7,3,9.083
"2911",6.25,0.74,5.0232,8.05,1032.55,2.4,5.5,63.7,2.45,11.046
"2913",7.822222222,0.57,3.0751,5.0393,1033.36,5.8,30.4,62.3,42,9.895
"2915",7.755555556,0.55,1.932,6.4078,1033.92,7.6,47.7,56.7,55,8.932
"2916",7.077777778,0.6,4.6529,6.2951,1033.54,5.8,34,59.6,136,7.221
"2917",4.972222222,0.69,3.4293,7.2128,1033.03,5.5,27.4,54.8,48.74,5.574
"2918",3.788888889,0.68,3.5742,9.982,1032.83,5.4,34.9,56.9,27.33,5.424
"2921",0.583333333,0.83,4.4597,9.982,1032.04,5.8,31.2,55.6,85.92,4.799
"2922",0.472222222,0.82,5.0232,8.1305,1032.23,5.7,30,51.3,34.15,9.198
"2923",-0.111111111,0.85,3.6708,7.1323,1032.24,5.3,32.3,53.4,43.78,8.062
"2924",-0.65,0.89,3.381,7.1162,1032.48,5,30.1,51.6,36.17,4.993
"2926",-0.85,0.89,3.3649,7.084,1033.04,5,25.1,50.5,10.54,10.481
"2927",-0.85,0.89,3.3005,6.0858,1033.06,5.3,57.8,49.7,20,11.67
"2928",-2.311111111,0.96,3.3649,4.991,1032.94,5.6,30,49.3,72.64,7.647
"2929",-2.266666667,0.99,3.3166,4.0733,1032.65,5.4,31,48.1,108,8.983
"2931",2.016666667,0.8,3.3327,2.0769,1032.34,5.2,25.9,46.9,2.5,8.04
"2932",2.222222222,0.85,3.2683,0.8372,1032.24,5.2,32.1,46.8,50,5.628
"2933",3.722222222,0.82,3.0912,1.8515,1032.24,5.6,37.3,46.4,12.31,6.145
"2934",3.866666667,0.81,4.5563,4.0089,1032.02,4.9,30.7,48.6,16.85,8.366
"2935",4.927777778,0.82,4.5241,3.9767,1031.93,5.4,32.1,50.8,30,6.843
"2936",5.133333333,0.8,3.4454,3.7674,1032.24,5.4,33.7,48.7,4.28,12.612
"2937",6.994444444,0.72,4.5724,3.9284,1032.33,5.6,32.2,48.1,13.52,8.443
"2938",5.972222222,0.8,3.2361,3.9284,1032.73,5.3,31.7,49.4,32,6.989
"2939",5.111111111,0.92,4.6368,4.0089,1032.96,5.4,30.6,51,26,5.858
"2941",5.95,0.87,4.9105,4.991,1032.38,5.2,31.4,49.1,138.02,17.075
"2942",5.894444444,0.87,8.9677,4.4597,1032.03,5.5,31,45.8,30,8.737
"2943",5.95,0.87,9.2092,4.9266,1031.69,5.3,30.9,49.4,35.6,12.573
"2946",4.905555556,0.96,3.22,4.4436,1032,5.2,31.6,57.5,108.01,24.115
"2947",4.861111111,0.96,4.7012,4.4275,1032.1,5.6,32,56.2,58.8,25.014
"2948",4.894444444,0.99,4.7817,3.7835,1032.44,5.6,31.8,59.7,26,19.839
"2949",4.838888889,0.96,9.3863,3.9606,1032.21,5.4,33,62.7,109,22.488
"2950",4.788888889,0.96,6.1663,2.576,1032.52,5.9,33.5,59.8,41,8.186
"2953",2.755555556,0.95,3.1717,3.9606,1033.01,5.5,33.1,56.4,110.62,9.909
"2954",2.833333333,0.96,2.7531,3.1073,1036.52,5.2,30.6,58.2,36,5.72
"2955",2.755555556,0.95,3.1878,1.9159,1033.52,5.7,32.8,56.6,95.64,6.454
"2960",4.094444444,0.88,8.8389,5.0393,1034.16,5.2,30.6,62.1,28.81,23.186
"2962",6.177777778,0.77,4.83,5.8765,1034.72,5.3,31.6,59.2,57.28,9.902
"2963",6.038888889,0.72,7.2772,6.7459,1035.08,4.6,28.1,57.1,54,7.392
"2964",4.027777778,0.8,4.7656,5.8926,1034.93,4.9,30.4,56.4,15.24,6.917
"2965",2.872222222,0.94,8.8389,4.83,1034.91,5.6,40.5,58.8,46,11.462
"2966",2.311111111,0.91,7.406,5.0715,1034.8,5.4,32.2,61,23,8.823
"2967",1.205555556,0.98,7.567,4.8461,1034.72,5.3,30.4,62.3,27.01,7.127
"2968",0.511111111,0.99,2.7853,4.8461,1034.92,5.6,31.6,64.4,4,4.918
"2969",-0.022222222,0.98,4.1055,5.0876,1035.1,5.1,30.1,68.1,51.2,7.596
"2970",-0.211111111,1,1.4168,4.3953,1035.33,5.1,30.3,65.8,104,10.773
"2971",-1.127777778,1,4.0894,3.9284,1035.54,5.2,35.4,63.2,6,4.169
"2973",-1.222222222,0.99,1.127,3.9284,1036.18,5.5,26.4,59.4,24.34,6.604
"2974",-0.783333333,0.99,3.22,1.932,1036.45,5.4,29.7,63.1,20.68,7.362
"2975",-0.827777778,0.99,3.1878,2.3828,1036.49,5.3,26.6,62.6,41,7.91
"2976",-1.338888889,0.92,11.27,2.4955,1036.67,5.2,24.1,66,15.96,7.261
"2977",-2.288888889,0.99,3.2844,2.9463,1037.15,5.6,34.8,67.4,23.07,9.365
"2979",1.044444444,0.85,3.5098,2.9463,1037.35,5.9,35.5,69.8,77,10.162
"2980",3.772222222,0.76,6.5849,2.9463,1037.27,5.8,34.1,71.1,58.73,11.242
"2982",7.066666667,0.61,4.6851,2.9463,1037.35,5.7,29,70.8,54.19,11.869
"2983",7.711111111,0.63,7.5992,2.9463,1037.35,5,33.8,72.9,108.05,10.508
"2985",7.777777778,0.67,7.6475,1.5617,1038.16,5.3,31.3,58.5,42,16.417
"2987",7.222222222,0.77,3.3971,1.5778,1038.51,5,28.5,63.5,35.2,9.325
"2988",6.133333333,0.78,7.1443,1.5939,1038.54,5,30.4,64.6,67,9.262
"2989",3.888888889,0.88,7.6475,1.9159,1038.24,5,30.4,65.7,59.85,9.13
"2991",2.711111111,0.95,8.0017,2.5438,1037.46,5.2,29.7,71.6,41.57,8.027
"2992",2.638888889,0.92,9.7083,1.771,1037.45,5.1,32.8,67.8,114.11,7.906
"2994",4.138888889,0.9,7.7441,2.9785,1037.55,5.4,31.9,68.4,32.74,25.909
"2998",3.288888889,0.92,6.5849,2.9785,1036.86,5.2,34.1,75.1,26,49.294
"3002",3.994444444,0.92,5.3613,3.6386,1037.76,5.7,33.6,75.3,54.46,35.599
"3003",5.927777778,0.87,6.3112,3.3971,1036.48,5.7,37.1,78.4,63.65,44.337
"3004",7.127777778,0.8,6.1663,3.4132,1036.37,5.9,35.2,78.8,60.89,18.638
"3005",8.827777778,0.82,3.2361,3.3649,1036.26,5.3,32.9,77.2,4.93,14.16
"3006",10.97222222,0.72,3.3488,3.3971,1036.06,5.1,38.4,77.3,116,24.152
"3007",11.03888889,0.77,3.2844,3.3971,1036.06,13.7,36,77.4,45,14.565
"3009",10.13888889,0.77,9.2414,4.3148,1036.86,5.5,16.1,79.8,21.22,22.5
"3011",10.03333333,0.77,8.2271,6.8264,1037.32,12.5,40.2,78.5,72,13.236
"3013",8.816666667,0.83,7.7602,5.8604,1036.96,5.2,22.7,79.7,56.15,26.764
"3014",7.727777778,0.84,6.8586,5.957,1036.84,8.4,32.9,80.2,31,38.628
"3015",7.222222222,0.86,8.9838,5.8765,1036.66,4.6,33.4,83.3,25,38.364
"3016",6.694444444,0.86,9.2414,7.728,1036.95,37.5,29.5,81.4,25,36.511
"3017",6.622222222,0.84,7.4221,7.5509,1037.03,5.3,35.3,80.7,63.96,23.029
"3019",7.127777778,0.8,7.1056,7.1443,1037.34,3.7,13.8,80.9,44.67,13.763
"3020",7.122222222,0.81,8.7745,7.6636,1037.5,2.5,32,78.6,188.34,13.773
"3021",7.2,0.79,7.9695,6.9069,1037.44,6.9,20.6,82.9,31,25.393
"3023",7.605555556,0.81,6.2629,6.3434,1037.96,4.5,27.2,88.3,66.07,24.663
"3028",10.92777778,0.67,6.2307,3.5581,1037.93,3.9,30.7,87.5,48.01,21.769
"3029",11.05,0.72,5.313,2.2057,1037.68,3.1,24.5,86.5,68.84,24.09
"3030",12.13333333,0.72,4.8783,0.9338,1037.44,7.1,40.8,88.3,58.8,26.434
"3031",12.71111111,0.69,7.1443,1.5456,1037.54,5.4,44.7,87.8,15,22.311
"3032",12.85555556,0.68,7.3899,1.0626,1037.69,7.1,35.5,84.8,23,20.194
"3034",12.75555556,0.72,7.6797,4.8461,1037.96,7.8,32,86.1,67.37,14.417
"3036",11.08333333,0.8,10.8836,11.0446,1037.64,6.9,40.1,89.3,30,19.116
"3039",8.933333333,1,9.3863,11.1251,1036.43,4.4,29.5,83.2,41,8.942
"3041",8.811111111,1,10.3201,9.8693,1035.91,3.6,34.1,85.2,50,3.915
"3042",8.377777778,1,4.7978,11.1251,1035.45,6.2,30.3,90,39.92,6.165
"3045",7.938888889,0.89,1.8515,11.1251,1035.23,3.8,20.9,91.4,6,5.095
"3046",8.427777778,0.89,6.4078,9.9015,1034.95,2.6,25,82.3,33,5.736
"3048",7.272222222,0.93,6.3434,9.9015,1034.65,6.1,17.8,85.2,28.81,6.823
"3050",7.183333333,0.92,2.5277,6.3434,1030.03,5.2,27.8,84.9,23,11.944
"3051",7.85,0.95,3.5259,9.9015,1033.93,5.4,36.9,87.7,27.21,13.328
"3052",8.894444444,0.89,2.7692,11.8979,1033.74,5.2,28.5,87.9,15.96,17.539
"3053",9.716666667,0.87,3.059,11.2539,1033.37,5.1,32.4,91.2,36.17,13.393
"3054",11.04444444,0.86,3.22,11.1251,1032.94,5.6,34.4,92.8,42,13.193
"3055",10.05,0.92,1.8193,11.0446,1032.82,5.4,30.4,87.1,68.38,12.523
"3056",9.944444444,0.98,4.186,10.5294,1032.92,5.1,32.5,90.1,116,9.507
"3058",9.977777778,0.93,3.1556,11.1251,1032.81,5.2,32.8,89.2,95.36,4.437
"3059",9.883333333,0.93,0.1771,10.948,1032.9,5.2,30.6,91.8,188.34,7.102
"3061",8.816666667,1,0.6118,11.1251,1031.91,5,30.7,95.1,34.74,8.398
"3062",8.75,0.99,2.9624,10.948,1031.4,5,30.4,96.7,18.17,10.914
"3064",7.966666667,0.99,2.6726,11.0446,1030.91,5.2,22.4,92.3,198.46,11.578
"3065",5.577777778,0.96,1.6905,10.8836,1031,5.6,27.1,82,17,17.96
"3066",4.883333333,0.89,0.3703,7.9695,1030.42,5.2,29.6,86.3,46,16.187
"3068",4.405555556,0.92,1.771,7.9695,1030.16,5.2,26.2,90,144.58,19.317
"3070",4.35,0.92,4.4919,7.9695,1029.79,5.2,31.2,96.9,32,28.243
"3071",4.316666667,0.9,2.0447,7.9051,1029.81,5.4,30,96.6,36,28.882
"3072",3.816666667,0.92,3.3971,7.9695,1029.7,5.1,31.7,94.1,108,26.475
"3073",3.816666667,0.91,3.542,7.9695,1029.39,5.2,49.8,97.3,41,24.318
"3074",3.761111111,0.9,14.7637,5.2647,1017.61,5.4,29.9,96.2,100,18.254
"3075",2.8,0.95,3.4937,6.118,1028.99,5.3,31,95.6,282.3,15.642
"3076",3.916666667,0.81,6.5044,7.9695,1028.7,5.3,32.7,100.6,44.67,10.425
"3077",4.922222222,0.8,5.6511,7.9051,1028.22,5.2,30.9,101.4,30.53,5.936
"3078",6.044444444,0.7,8.0339,7.9695,1027.8,5.5,32.4,98.3,28.14,8.053
"3079",6.116666667,0.65,9.6278,7.9051,1027.78,5.8,32,100,110.96,8.174
"3081",7.2,0.69,11.3988,3.5259,1028.07,5.2,33.3,91.8,11.8,11.65
"3082",7.15,0.59,8.4203,3.0429,1027.79,5.5,34.7,96.2,45,5.811
"3083",6.144444444,0.58,12.7351,3.5742,1027.95,5.6,31.7,99.2,63.19,4.742
"3084",4.877777778,0.6,14.4578,4.8783,1027.09,5.3,33,99.1,12.31,8.676
"3088",0.516666667,0.85,15.7136,4.4436,1023.51,5.4,33.3,96,4,6.729
"3089",0.588888889,0.85,15.6492,4.3309,1023.6,5.2,32.8,95.5,23.58,7.217
"3091",0.511111111,0.85,17.3558,4.8461,1021.69,5.5,34.2,85.3,50.26,8.27
"3092",0.477777778,0.85,15.2306,4.7334,1021.29,5.4,30.2,85.9,41,6.864
"3093",0.933333333,0.82,14.3934,4.8461,1020.21,5.2,29.4,82.5,30,9.445
"3095",0.438888889,0.86,13.7011,5.2325,1018.85,5,28.2,90.5,43.78,4.915
"3096",1.027777778,0.85,14.329,4.3953,1017.57,5.4,33.7,86.5,67,3.883
"3097",0.933333333,0.86,17.2431,4.3953,1016.09,5.3,32.2,87.6,64.91,5.992
"3098",0.983333333,0.86,13.7011,9.1448,1009.95,5.7,32.3,88.3,32,5.922
"3099",1.072222222,0.86,17.0499,4.8461,1013.77,5.3,34,91.8,114.99,8.626
"3100",2.738888889,0.77,20.2538,1.449,1012.55,5.2,33.3,88.3,109,8.831
"3101",4.588888889,0.78,19.6098,4.8461,1011.24,5.3,31.2,90,54.6,7.203
"3104",5.183333333,0.79,19.9157,5.313,1007.83,5.2,30.3,89.3,22.35,7.892
"3105",5.694444444,0.71,12.719,3.9767,1007.22,5.5,29.1,92.7,15.24,8.98
"3107",6.144444444,0.66,12.8639,5.3452,1006.13,5.5,33.1,92.9,108.09,9.364
"3108",2.916666667,0.87,12.5419,4.9105,1005.52,5.3,31.2,82.9,71,7.839
"3110",0.377777778,0.87,8.8389,6.2629,1004.88,5.2,30.7,87,21.5,4.885
"3113",-0.077777778,0.88,5.313,4.4758,1005.16,5.3,29.2,78.8,26,4.894
"3114",-1.177777778,0.85,7.7441,4.9105,1005.23,4.9,32,77.9,13.52,7.365
"3116",-1.161111111,0.86,10.3201,8.9194,1006.07,4.9,31.8,83.3,32,8.874
"3118",-1.711111111,0.86,6.6654,9.9015,1007.31,4.9,24.9,85,17.37,9.513
"3119",-1.661111111,0.91,6.9069,9.499,1008.01,5.2,32.4,87.3,54,10.414
"3121",-2.194444444,0.96,11.6242,10.0464,1008.43,5.3,30.1,81.1,87.21,3.627
"3122",-1.088888889,0.89,11.0124,11.2539,1024.15,5.3,29.7,87.4,188.34,5.29
"3123",-0.061111111,0.92,20.8817,12.0428,1008.98,5,34.1,87.5,104,9.203
"3125",3.7,0.77,23.6187,14.168,1010.56,5.2,30.3,83.9,72,10.09
"3126",5.116666667,0.69,28.5292,11.2056,1011.01,5.2,32.3,88.2,23,8.96
"3127",7.266666667,0.64,26.9353,11.2056,1012.2,4.7,26.3,88.9,114.72,12.931
"3128",8.777777778,0.61,25.5829,10.948,1013.35,5,28.6,90.6,12.31,17.521
"3129",9.005555556,0.57,28.5292,11.0446,1015.03,5.2,27.8,88.2,30,5.714
"3131",7.444444444,0.63,25.277,7.5187,1018.26,5,29.2,84.6,19,8.262
"3132",6.666666667,0.65,22.4273,8.05,1019.52,4.9,28.9,83.8,32,9.192
"3134",3.833333333,0.83,15.8907,10.7226,1020.8,4.7,27,84,26,10.541
"3135",2.777777778,0.77,16.0678,10.948,1021.55,5.2,26.8,81,26,7.248
"3136",2.661111111,0.8,16.3576,11.2056,1022.34,4.9,29.7,80.6,26,5.246
"3138",1.066666667,0.83,12.9444,11.2056,1023.74,4.9,27.7,83.3,23,7.569
"3139",1.088888889,0.82,9.9498,11.2056,1024.46,4.9,26.2,86.5,42.44,6.393
"3140",0.983333333,0.83,10.7065,9.982,1025.07,5,37.4,85.7,51.2,6.938
"3141",0.994444444,0.83,9.9015,9.982,1025.49,4.8,28.2,88.4,30,6.468
"3142",0.466666667,0.85,11.0768,14.9086,1026.07,5.2,28.7,86.7,23,3.182
"3143",0.422222222,0.86,10.6099,14.0875,1027.04,4.7,41.6,86.1,31,7.82
"3144",-0.116666667,0.86,6.6171,11.8979,1027.26,5.2,38.9,84.8,40,12.364
"3145",-0.094444444,0.86,13.6689,15.6492,1009.6,5.5,46,85.5,33,15.138
"3146",-0.105555556,0.86,15.295,5.313,1014.72,5.3,25.5,87.3,43.04,12.901
"3147",0.972222222,0.79,16.8245,15.5526,1009.1,5,23.7,83.9,33.96,15.977
